"name","pos","team","PassAttempts","Completions","PassingYards","PassTDs","INTs","carries","rushYards","rushTDs","receptions","receivingYards","receivingTDs","halfFantasyPoints","fullFantasyPoints","recProps"
"Geno Smith","QB","SEA",33.3,21.5,221,1.4,0.9,1.7,5.9,0.1,0,0,0,13.8,13.8,""
"Sam Darnold","QB","MIN",33.3,21.4,253.1,1.8,0.7,4.6,14.6,0.1,0,0,0,18,18,""
"Lamar Jackson","QB","BAL",36.5,22.4,245.1,1.7,0.8,9.6,51.7,0.2,0,0,0,21.4,21.4,""
"Russell Wilson","QB","PIT",32.2,19.5,247.1,1,0.4,1.7,6.1,0.1,0,0,0,14.3,14.3," -- Over UD Pass Yards of 211.5 -- Over PP Pass Yards of 208.5 -- Over UD Pass Plus Rush Yards of 221.5 -- Over PP Pass Plus Rush Yards of 220.5"
"Michael Penix Jr.","QB","ATL",34.4,20.2,219.5,1.6,1.1,0.3,2.3,0.1,0,0,0,13.8,13.8,""
"Drew Lock","QB","NYG",32.7,20.2,194.7,0.9,0.9,2.6,20.7,0.1,0,0,0,12.3,12.3,""
"Joe Burrow","QB","CIN",34.7,23.1,243.9,1.8,0.8,3.4,11.4,0.1,0,0,0,17.1,17.1,""
"Dorian Thompson-Robinson","QB","CLE",31.2,19.6,163.4,1,1.1,2.7,15.4,0.1,0,0,0,10.5,10.5," -- Under UD Rush Yards of 25.5 -- Under PP Rush Yards of 27.5 -- Under UD Pass Plus Rush Yards of 227.5 -- Under PP Pass Plus Rush Yards of 229.5 -- Under PP Fantasy Score of 15"
"Aidan O'Connell","QB","LV",41.7,26.5,284.9,1.3,0.7,0.4,2.1,0.1,0,0,0,16,16,""
"Jayden Daniels","QB","WAS",32,20,210,1.2,0.6,8.8,40.4,0.2,0,0,0,17.2,17.2,""
"Jalen Hurts","QB","PHI",32.4,20.2,224.5,1,0.9,8.8,37.1,1,0,0,0,20.9,20.9," -- Over UD Pass Attempts of 25.5 -- Over PP Pass Attempts of 25.5 -- Over UD Pass Yards of 195.5 -- Over PP Pass Yards of 196.5 -- Over UD Pass Plus Rush Yards of 235.5 -- Over PP Pass Plus Rush Yards of 235.5 -- Over PP Fantasy Score of 18.5"
"Justin Herbert","QB","LAC",37.9,23.9,251.7,1.4,0.8,4.3,18.4,0.2,0,0,0,17.1,17.1,""
"Bo Nix","QB","DEN",32.6,20,220.6,1.4,0.8,4.8,25.9,0.2,0,0,0,16.6,16.6,""
"Mac Jones","QB","JAC",28.8,18.4,180.3,1.2,0.8,3.6,13.6,0.3,0,0,0,13.6,13.6," -- Under UD Pass Yards of 217.5 -- Under UD Pass Plus Rush Yards of 227.5 -- Under PP Pass Plus Rush Yards of 223.5"
"Aaron Rodgers","QB","NYJ",36.9,24,247.9,1.8,1,1.2,6.6,0.1,0,0,0,16.4,16.4,""
"Matthew Stafford","QB","LAR",36.7,24,255.4,1.6,0.5,1.3,4.6,0.1,0,0,0,16.7,16.7,""
"Cooper Rush","QB","DAL",38.4,25,240.6,1.6,0.9,0.6,2.7,0.1,0,0,0,15.1,15.1,""
"Baker Mayfield","QB","TB",35.1,21.9,233.6,1.8,0.6,3.8,20.8,0.1,0,0,0,18,18," -- Over UD Pass Attempts of 30.5"
"Chuba Hubbard","RB","CAR",0,0,0,0,0,18.6,81.5,0.7,2.6,9.9,0.2,15.8,17.1," -- Under UD Receiving Yards of 16.5 -- Under PP Receiving Yards of 16.5"
"James Conner","RB","ARI",0,0,0,0,0,17.8,86.3,0.9,3.5,26.6,0.2,19.6,21.4," -- Over UD Receiving Yards of 19.5"
"Josh Jacobs","RB","GB",0,0,0,0,0,19.3,82.3,1.1,2.5,19.7,0.2,19.3,20.5,""
"Kendre Miller","RB","NO",0,0,0,0,0,14.6,63.6,0.4,1.7,8.7,0.1,11.1,11.9,""
"D'Andre Swift","RB","CHI",0,0,0,0,0,13.9,51.6,0.5,2.1,18.8,0.1,11.7,12.7,""
"Jahmyr Gibbs","RB","DET",0,0,0,0,0,17.8,88,0.8,3.9,29.7,0.2,19.7,21.7," -- Under PP Fantasy Score of 22.5"
"Isiah Pacheco","RB","KC",0,0,0,0,0,15.7,70.6,0.3,1.9,15.1,0.1,11.9,12.9," -- Over UD Rush Yards of 54.5 -- Over PP Rush Yards of: 54.5"
"Joe Mixon","RB","HOU",0,0,0,0,0,18.1,71.4,0.7,2.4,20.7,0.2,15.8,17,""
"Jonathan Taylor","RB","IND",0,0,0,0,0,17.3,73.6,0.9,1,10.8,0.2,15.5,16," -- Over UD Rush TDs of 0.5"
"Tony Pollard","RB","TEN",0,0,0,0,0,14,62.1,0.5,2.4,13.9,0.2,13,14.2,""
"De'Von Achane","RB","MIA",0,0,0,0,0,14.1,60.4,0.5,4.5,36.6,0.5,17.9,20.2,""
"Patrick Taylor","RB","SF",0,0,0,0,0,11.2,48.4,0.5,0.9,6.3,0.1,9.5,10," -- Over UD Rush Yards of 34.5 -- Under UD Receiving Yards of 9.5"
"James Cook","RB","BUF",0,0,0,0,0,13.8,70.3,0.9,1.7,15.6,0.2,16,16.9," -- Over UD Rush TDs of 0.5"
"Rhamondre Stevenson","RB","NE",0,0,0,0,0,14.5,57.8,0.5,2.3,12.8,0.2,12.4,13.6," -- Over PP Rush Yards of: 47.5"
"Kenneth Walker","RB","SEA",0,0,0,0,0,13.8,51.7,0.4,3,21.3,0.2,12.4,13.9,""
"Aaron Jones","RB","MIN",0,0,0,0,0,14.3,68.5,0.4,2.6,22.1,0.2,14,15.3,""
"Derrick Henry","RB","BAL",0,0,0,0,0,18,84.7,1,0.8,7.1,0.2,16.8,17.2,""
"Najee Harris","RB","PIT",0,0,0,0,0,13.9,46.5,0.5,2,19.3,0.1,11.2,12.2," -- Over UD Receiving Yards of 11.5 -- Over PP Receiving Yards of 10.5"
"Bijan Robinson","RB","ATL",0,0,0,0,0,19.4,90.2,1,3.4,25.6,0.2,20.5,22.2,""
"Tyrone Tracy","RB","NYG",0,0,0,0,0,14.9,56.7,0.4,2.9,23.2,0.2,13,14.5,""
