Season,Week,PID,Player,Pos,Team,Opp,aFPA,aFPA Rk,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade
2022,6,robinb1,Brian Robinson,RB,WAS,@CHI,21.0,26,10.2,0.0,0.0,0.0,0.0,0.0,14.6,61.3,0.4,1.1,7.8,0.0,0.0,3.1,0.4,0.1,0.0,0.0,C-Game
2022,6,pollat1,Tony Pollard,RB,DAL,@PHI,15.2,7,9.7,0.0,0.0,0.0,0.0,0.0,8.7,44.8,0.3,1.8,14.4,0.1,0.0,2.2,0.7,0.1,0.0,0.0,C-Game
2022,6,allget1,Tyler Allgeier,RB,ATL,SF,15.5,9,9.1,0.0,0.0,0.0,0.0,0.0,13.9,50.4,0.4,1.2,8.1,0.0,0.0,2.5,0.4,0.1,0.0,0.0,C-Game
2022,6,mckisj1,J.D. McKissic,RB,WAS,@CHI,21.0,26,8.6,0.0,0.0,0.0,0.0,0.0,2.3,11.1,0.1,3.7,27.2,0.1,0.0,0.6,1.2,0.0,0.0,0.0,C-Game
2022,6,lindsp1,Phillip Lindsay,RB,IND,JAX,18.6,21,8.5,0.0,0.0,0.0,0.0,0.0,10.3,33.4,0.3,1.8,13.3,0.1,0.0,1.7,0.6,0.1,0.0,0.0,C-Game
2022,6,cartem2,Michael Carter,RB,NYJ,@GB,16.5,16,8.4,0.0,0.0,0.0,0.0,0.0,6.4,30.8,0.2,2.9,14.5,0.0,0.0,1.5,0.7,0.1,0.0,0.0,C-Game
2022,6,boonem1,Mike Boone,RB,DEN,@LAC,23.0,29,8.3,0.0,0.0,0.0,0.0,0.0,5.7,33.5,0.1,2.3,19.3,0.1,0.0,1.7,0.9,0.1,0.0,0.0,C-Game
2022,6,herbek1,Khalil Herbert,RB,CHI,WAS,15.4,8,7.1,0.0,0.0,0.0,0.0,0.0,7.9,41.2,0.2,1.0,8.3,0.0,0.0,2.1,0.4,0.1,0.0,0.0,C-Game
2022,6,whiter5,Rachaad White,RB,TB,@PIT,15.8,11,6.7,0.0,0.0,0.0,0.0,0.0,5.5,16.3,0.3,2.0,15.2,0.0,0.0,0.8,0.7,0.0,0.0,0.0,C-Game
2022,6,kellej2,Joshua Kelley,RB,LAC,DEN,15.0,5,6.4,0.0,0.0,0.0,0.0,0.0,4.9,17.0,0.1,1.9,13.7,0.1,0.0,0.9,0.6,0.0,0.0,0.0,C-Game
2022,6,gibsoa1,Antonio Gibson,RB,WAS,@CHI,21.0,26,6.1,0.0,0.0,0.0,0.0,0.0,3.5,15.2,0.1,1.5,16.8,0.1,0.0,0.8,0.8,0.0,0.0,0.0,C-Game
2022,6,mckinj1,Jerick McKinnon,RB,KC,BUF,18.2,20,6.1,0.0,0.0,0.0,0.0,0.0,4.1,16.5,0.1,1.7,13.0,0.1,0.0,0.8,0.6,0.0,0.0,0.0,C-Game
2022,6,ingrak1,Keaontay Ingram,RB,ARI,@SEA,22.7,28,5.7,0.0,0.0,0.0,0.0,0.0,7.8,28.8,0.2,0.7,6.8,0.0,0.0,1.4,0.3,0.0,0.0,0.0,C-Game
2022,6,edmonc1,Chase Edmonds,RB,MIA,MIN,17.7,19,5.4,0.0,0.0,0.0,0.0,0.0,2.8,11.5,0.2,1.5,11.9,0.1,0.0,0.6,0.5,0.0,0.0,0.0,C-Game
2022,6,colemt1,Tevin Coleman,RB,SF,@ATL,19.7,22,5.3,0.0,0.0,0.0,0.0,0.0,3.8,16.2,0.2,1.4,9.3,0.1,0.0,0.8,0.4,0.0,0.0,0.0,C-Game
2022,6,warrej1,Jaylen Warren,RB,PIT,TB,11.6,1,5.3,0.0,0.0,0.0,0.0,0.0,5.9,21.9,0.0,1.6,13.6,0.1,0.0,1.1,0.6,0.1,0.0,0.0,C-Game
2022,6,mattia1,Alexander Mattison,RB,MIN,@MIA,22.7,27,5.2,0.0,0.0,0.0,0.0,0.0,5.6,19.4,0.2,1.3,7.9,0.1,0.0,1.0,0.4,0.0,0.0,0.0,C-Game
2022,6,dallad1,DeeJay Dallas,RB,SEA,ARI,17.7,18,4.5,0.0,0.0,0.0,0.0,0.0,4.0,19.2,0.1,1.5,7.5,0.0,0.0,1.0,0.3,0.0,0.0,0.0,C-Game
2022,6,drakek1,Kenyan Drake,RB,BAL,@NYG,16.3,15,4.3,0.0,0.0,0.0,0.0,0.0,6.2,24.7,0.0,1.0,7.0,0.0,0.0,1.2,0.3,0.0,0.0,0.0,C-Game
2022,6,perins1,Samaje Perine,RB,CIN,@NO,16.9,17,4.2,0.0,0.0,0.0,0.0,0.0,4.8,21.7,0.0,1.2,7.7,0.0,0.0,1.1,0.4,0.0,0.0,0.0,C-Game
2022,6,huntlc1,Caleb Huntley,RB,ATL,SF,15.5,9,4.1,0.0,0.0,0.0,0.0,0.0,6.7,31.9,0.2,0.0,0.0,0.0,0.0,1.6,0.0,0.1,0.0,0.0,C-Game
2022,6,brownm4,Malcolm Brown,RB,LAR,CAR,20.4,25,3.9,0.0,0.0,0.0,0.0,0.0,7.0,25.0,0.2,0.2,1.3,0.0,0.0,1.3,0.1,0.0,0.0,0.0,C-Game
