"","POS","Player","<5","5 to 10","10 to 15","15 to 20","20 to 25",">25","PPR - AVG","PPR - 25th","PPR - 50th","PPR - 75th","Half - AVG","Half - 25th","Half - 50th","Half - 75th","Stand - AVG","Stand - 25th","Stand - 50th","Stand - 75th"
"114","WR","Isaiah McKenzie",0.15,0.27,0.29,0.15,0.08,0.06,12,7.5,10.7,15.2,10,5.7,9.1,12.4,8,3.9,7.6,10.3
"115","WR","Diontae Johnson",0.17,0.2,0.37,0.17,0.04,0.04,11.9,7.8,11.6,15,9.5,5.8,8.7,12.9,7,4.1,6.3,8.8
"116","WR","Brandon Aiyuk",0.1,0.31,0.23,0.25,0.1,0,11.9,6.7,11.6,16.4,9.6,5.3,9.2,13.7,7.4,3.7,6.5,11.2
"117","WR","DeVonta Smith",0.16,0.22,0.33,0.14,0.08,0.06,11.9,5.9,11.6,16.1,9.4,4.4,8.7,13,7,3,6.1,9.9
"118","WR","Curtis Samuel",0.12,0.37,0.18,0.22,0.06,0.04,11.9,6.7,10,17.1,9.6,5.2,8,13.8,7.4,3.7,5.9,10.8
"119","WR","Russell Gage",0.15,0.22,0.35,0.17,0.07,0.04,11.6,7.4,11,15.1,9.2,5.4,8.5,12.3,6.7,3.4,5.6,9.6
"120","WR","Rashod Bateman",0.16,0.22,0.42,0.06,0.1,0.04,11.4,7,11.1,14.8,9.5,5.3,8.9,12.8,7.6,3.5,6.4,10.8
"121","WR","Marvin Jones",0.2,0.34,0.22,0.12,0.08,0.04,11.3,5.5,9.6,14.8,9.1,4.2,7.3,11.7,6.9,2.9,5.8,8.5
"122","WR","Drake London",0.1,0.4,0.26,0.12,0.08,0.04,11.3,6.3,9.8,14.8,9.2,4.8,7.8,12.5,7.1,3.4,5.8,9.8
"123","WR","Garrett Wilson",0.12,0.37,0.27,0.12,0.1,0.02,11.2,6.8,10,14.8,9.1,5.2,7.6,12.8,7.1,3.7,5.5,9.8
"124","WR","Zay Jones",0.18,0.26,0.3,0.16,0.08,0.02,11,6,10.2,15.6,8.7,4.5,8.1,12.3,6.5,3,5.7,8.4
"125","WR","Jerry Jeudy",0.19,0.38,0.21,0.1,0.08,0.04,10.9,5.2,9.2,14.8,9.3,4.2,7.6,12.9,7.7,3,6.3,10.9
"126","WR","Romeo Doubs",0.2,0.3,0.33,0.09,0.09,0,10.6,5.8,10,14.1,8.6,4.3,8,11.6,6.6,2.8,5.6,9.9
"127","WR","Jarvis Landry",0.17,0.36,0.3,0.13,0.02,0.02,10.6,6.4,9.6,12.7,8.5,4.7,7.4,10.3,6.5,2.8,5,8.1
"128","WR","Adam Thielen",0.09,0.46,0.33,0.07,0.04,0.02,10.4,6.4,9.5,13.8,8.3,4.8,7.5,10.5,6.1,3.3,5.3,7.9
"129","WR","Chris Godwin",0.1,0.4,0.35,0.1,0.03,0.03,10.4,6.8,9.9,13.1,8.1,5.3,7.5,10.3,5.8,3.8,5.2,7.8
"130","WR","Braxton Berrios",0.15,0.4,0.26,0.13,0.04,0.02,10.3,6.4,9,13.5,8.1,4.9,7,10.2,5.9,3.4,4.6,7.3
"131","WR","Randall Cobb",0.27,0.31,0.2,0.08,0.08,0.06,10.2,4.4,7.7,13.1,8.3,3.8,6,10.6,6.4,2.5,4.2,8
"132","WR","Darnell Mooney",0.25,0.23,0.34,0.11,0.05,0.02,10.2,5.2,10.4,13.4,8.3,3.9,8.4,11.5,6.5,2.7,6.2,9.4
"133","WR","Nelson Agholor",0.2,0.33,0.29,0.1,0.04,0.04,10.1,5.7,8.3,13.8,8.2,4.2,6.2,11.2,6.4,2.8,4.6,9.6
"134","WR","Kadarius Toney",0.23,0.32,0.27,0.11,0.02,0.05,10,5.1,8.8,13.3,7.9,4,6.9,10.6,5.7,2.9,5,7.9
"135","WR","Byron Pringle",0.35,0.23,0.15,0.2,0.03,0.05,10,4.6,8.5,15.4,8.7,3.7,7,13.5,7.3,2.6,5.4,11.6
"136","WR","Noah Brown",0.15,0.45,0.28,0.04,0.06,0.02,10,6.4,8.3,13.4,8.1,5.1,6.3,10.6,6.2,3.4,4.8,7.7
"137","WR","Terry McLaurin",0.15,0.48,0.21,0.1,0.06,0,9.9,6.2,9.2,12.2,7.9,4.8,6.8,10.2,5.8,3.4,4.8,8.1
"138","WR","Josh Palmer",0.25,0.41,0.18,0.02,0.11,0.02,9.8,4.9,7.5,12.8,7.9,3.5,5.9,10.9,6.1,2.4,4.2,8.5
"139","WR","Corey Davis",0.32,0.26,0.26,0.06,0.09,0.02,9.5,4.4,8.2,13.6,7.8,3,6.2,10.7,6.2,1.9,4.4,9.5
"140","WR","Elijah Moore",0.24,0.46,0.17,0.07,0.04,0.02,9.1,5.2,7,13.4,7.2,4,5.5,10,5.3,2.6,4,7.2
"141","WR","DJ Moore",0.17,0.5,0.19,0.12,0.02,0,8.8,5.9,7.7,10.7,6.9,4.5,5.9,8.5,5,3,4,6
"142","WR","Olamide Zaccheaus",0.35,0.23,0.33,0.08,0,0.03,8.7,4.2,8.2,12,7.4,3.2,6.5,10.3,6.1,2,4.6,9.2
"143","WR","Cedrick Wilson",0.26,0.43,0.21,0.09,0.02,0,8.5,5,7.5,12.3,6.6,4,5.6,9.5,4.6,2.3,3.6,6.4
"144","WR","Dante Pettis",0.46,0.21,0.13,0.13,0.04,0.04,8.5,3.1,6.3,12.5,7.5,2.3,5.3,11.4,6.5,1.6,4.3,10.2
"145","WR","Michael Gallup",0.3,0.4,0.18,0.13,0,0,8.5,4.3,7.6,11.1,6.8,3,6.1,9.5,5.2,2,4,8.6
"146","WR","Marquez Valdes-Scantling",0.2,0.53,0.18,0.04,0.04,0,8.4,5.5,7.8,10.4,6.9,4.4,6.1,8.9,5.3,3.2,4.4,6.7
"147","WR","KJ Osborn",0.27,0.4,0.22,0.11,0,0,8.4,4.9,7.3,12.6,6.8,3.6,5.7,11,5.3,2.4,4.1,8.9
"148","WR","Tyler Boyd",0.43,0.22,0.18,0.1,0.04,0.02,8.4,3.4,6.2,12.6,7,2.4,4.7,11.2,5.6,1.4,2.8,8.7
"149","WR","Isaiah Hodgins",0.27,0.41,0.23,0.05,0.02,0.02,8.3,4.3,7.6,11,6.6,3.3,6.1,8.7,4.8,2.1,3.9,6.7
"150","WR","Laviska Shenault",0.17,0.51,0.23,0.09,0,0,8.3,5.7,7.5,10.7,6.5,4.4,5.5,8.5,4.8,3,3.9,5.8
"151","WR","Marcus Johnson",0.28,0.45,0.18,0.05,0.05,0,8.2,4.7,7.4,10.6,6.4,3.3,5.8,8.2,4.6,2.1,3.9,5.8
