Season,Week,PID,Player,Pos,Team,Opp,aFPA,aFPA Rk,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade,Y! (Proj),Y! ($),Y! (Val),Y! (Pt/$),Y! (Flr),Y! (Flr Val),Y! (Floor/$),Y! (Ceil),Y! (Ceil Val),Y! (Ceil/$),Y! (Wk $ Chg),O/U,Line,Team O/U
2022,6,hallb1,Breece Hall,RB,NYJ,@GB,16.5,16,12.4,0.0,0.0,0.0,0.0,0.0,15.0,65.6,0.4,3.0,32.5,0.1,0.0,3.3,1.5,0.2,0.0,0.0,B-Game,13.9,19.0,5.9,0.73,5.3,-2.71,0.28,21.9,13.95,1.15,--,45.000,7.500,18.75
2022,6,wilsoj2,Jeff Wilson,RB,SF,@ATL,19.7,22,11.8,0.0,0.0,0.0,0.0,0.0,18.9,84.8,0.4,1.7,12.8,0.0,0.0,4.3,0.6,0.1,0.0,0.0,B-Game,12.6,19.0,4.6,0.66,4.8,-3.19,0.25,20.9,12.96,1.10,--,46.000,-4.500,25.25
2022,6,walkek1,Ken Walker,RB,SEA,ARI,17.7,18,11.7,0.0,0.0,0.0,0.0,0.0,17.6,71.6,0.6,1.8,11.2,0.1,0.0,3.6,0.5,0.2,0.0,0.0,B-Game,12.6,18.0,5.0,0.70,3.6,-3.96,0.20,20.8,13.29,1.16,--,50.500,2.5,24
2022,6,sandem1,Miles Sanders,RB,PHI,DAL,15.6,10,11.6,0.0,0.0,0.0,0.0,0.0,18.8,85.9,0.3,1.9,9.8,0.0,0.0,4.3,0.5,0.1,0.0,0.0,B-Game,12.6,22.0,3.3,0.57,4.6,-4.60,0.21,20.8,11.61,0.95,--,42.000,-6.5,24.25
2022,6,hended3,Darrell Henderson,RB,LAR,CAR,20.4,25,11.4,0.0,0.0,0.0,0.0,0.0,14.0,59.8,0.6,2.4,15.8,0.1,0.0,3.0,0.7,0.1,0.0,0.0,B-Game,12.6,14.0,6.7,0.90,3.2,-2.68,0.23,20.7,14.85,1.48,--,41.500,-10,25.75
2022,6,montgd1,David Montgomery,RB,CHI,WAS,15.4,8,11.0,0.0,0.0,0.0,0.0,0.0,14.2,58.7,0.4,3.0,21.1,0.1,0.0,2.9,1.0,0.1,0.0,0.0,B-Game,12.5,18.0,4.9,0.69,3.8,-3.76,0.21,20.8,13.20,1.15,--,38.500,1,18.75
2022,6,moster1,Raheem Mostert,RB,MIA,MIN,17.7,19,10.8,0.0,0.0,0.0,0.0,0.0,14.5,60.5,0.6,1.4,10.7,0.0,0.0,3.0,0.5,0.1,0.0,0.0,B-Game,11.5,20.0,3.1,0.58,2.7,-5.74,0.13,19.9,11.54,1.00,--,45.500,3,21.25
2022,6,benjae1,Eno Benjamin,RB,ARI,@SEA,22.7,28,10.6,0.0,0.0,0.0,0.0,0.0,13.6,53.0,0.5,3.0,21.7,0.1,0.0,2.7,1.0,0.1,0.0,0.0,B-Game,12.1,15.0,5.8,0.81,3.4,-2.93,0.22,20.4,14.09,1.36,--,50.500,-2.500,26.5
2022,6,gordom1,Melvin Gordon,RB,DEN,@LAC,23.0,29,10.6,0.0,0.0,0.0,0.0,0.0,15.1,58.6,0.4,3.0,19.3,0.1,0.0,2.9,0.9,0.1,0.0,0.0,B-Game,12.1,20.0,3.7,0.60,3.6,-4.78,0.18,20.4,12.03,1.02,--,45.500,4.500,20.5
2022,6,edwarc1,Clyde Edwards-Helaire,RB,KC,BUF,18.2,20,10.4,0.0,0.0,0.0,0.0,0.0,9.6,37.3,0.4,3.1,28.8,0.3,0.0,1.9,1.3,0.1,0.0,0.0,C-Game,12.0,19.0,4.0,0.63,2.7,-5.26,0.14,20.3,12.27,1.07,--,54.000,2.5,25.75
2022,6,dobbij1,J.K. Dobbins,RB,BAL,@NYG,16.3,15,9.8,0.0,0.0,0.0,0.0,0.0,11.6,46.5,0.5,2.1,16.3,0.1,0.0,2.3,0.7,0.1,0.0,0.0,C-Game,10.9,19.0,2.9,0.57,2.1,-5.91,0.11,19.4,11.41,1.02,--,45.500,-5.500,25.5
2022,6,robinj4,James Robinson,RB,JAX,@IND,15.1,6,9.7,0.0,0.0,0.0,0.0,0.0,13.6,52.7,0.5,1.6,9.9,0.1,0.0,2.6,0.5,0.1,0.0,0.0,C-Game,10.5,22.0,1.3,0.48,2.0,-7.28,0.09,19.1,9.85,0.87,--,41.000,1.500,19.75
2022,6,dilloa1,A.J. Dillon,RB,GB,NYJ,20.2,24,9.6,0.0,0.0,0.0,0.0,0.0,12.1,46.8,0.5,1.9,17.8,0.1,0.0,2.3,0.8,0.1,0.0,0.0,C-Game,10.5,21.0,1.7,0.50,2.1,-6.70,0.10,19.1,10.26,0.91,--,45.000,-7.5,26.25
2022,6,harrin1,Najee Harris,RB,PIT,TB,11.6,1,9.5,0.0,0.0,0.0,0.0,0.0,13.3,49.3,0.4,2.2,14.7,0.1,0.0,2.5,0.7,0.1,0.0,0.0,C-Game,10.6,15.0,4.3,0.71,2.2,-4.10,0.15,19.2,12.93,1.28,--,46.000,9.5,18.25
2022,6,ellioe1,Ezekiel Elliott,RB,DAL,@PHI,15.2,7,9.2,0.0,0.0,0.0,0.0,0.0,15.0,57.4,0.4,1.6,11.0,0.1,0.0,2.9,0.5,0.1,0.0,0.0,C-Game,10.0,19.0,2.0,0.53,2.4,-5.55,0.13,18.8,10.82,0.99,--,42.000,6.500,17.75
2022,6,singld1,Devin Singletary,RB,BUF,@KC,19.9,23,9.2,0.0,0.0,0.0,0.0,0.0,10.7,45.9,0.2,3.4,27.3,0.1,0.0,2.3,1.3,0.1,0.0,0.0,C-Game,10.9,18.0,3.4,0.61,3.4,-4.12,0.19,19.5,11.90,1.08,--,54.000,-2.500,28.25
2022,6,robinb1,Brian Robinson,RB,WAS,@CHI,21.0,26,9.2,0.0,0.0,0.0,0.0,0.0,14.6,61.3,0.4,1.1,7.8,0.0,0.0,3.1,0.4,0.1,0.0,0.0,C-Game,9.7,18.0,2.1,0.54,2.5,-5.08,0.14,18.5,10.97,1.03,--,38.500,-1.000,19.75
2022,6,jacksd7,Deon Jackson,RB,IND,JAX,18.6,21,8.7,0.0,0.0,0.0,0.0,0.0,10.0,34.8,0.3,3.7,27.9,0.1,0.0,1.7,1.3,0.1,0.0,0.0,C-Game,10.6,13.0,5.1,0.81,2.7,-2.79,0.21,19.2,13.71,1.47,--,41.000,-1.5,21.25
2022,6,etient1,Travis Etienne,RB,JAX,@IND,15.1,6,8.7,0.0,0.0,0.0,0.0,0.0,10.4,43.8,0.1,2.6,29.8,0.1,0.0,2.2,1.4,0.1,0.0,0.0,C-Game,10.0,19.0,2.0,0.53,3.1,-4.84,0.17,18.8,10.80,0.99,--,41.000,1.500,19.75
