"Rank","Player","Position","Team","Drafts","ADP","PosADP","RVRank","RVPosRk","Earliest","Latest","StdDev"
37,"Travis Kelce","TE","KC",58,38.9,3,80,9,10,71,9.05
38,"Tyreek Hill","WR","MIA",58,40.98,13,27,10,25,52,5.75
39,"Travis Etienne","RB","JAC",58,41.16,9,40,8,21,65,11.52
40,"Derek Carr","QB","LV",58,42.22,15,103,23,14,78,13.32
41,"Saquon Barkley","RB","NYG",58,43.02,10,57,11,28,62,7.93
42,"Dalvin Cook","RB","MIN",58,46.14,11,177,53,28,76,9.23
43,"Aaron Rodgers","QB","GB",58,46.4,16,128,27,12,78,11.63
44,"Drake London","WR","ATL",58,46.57,14,34,14,25,75,11.16
45,"George Kittle","TE","SF",58,48.02,4,67,8,32,66,8.46
46,"Tua Tagovailoa","QB","MIA",58,48.29,17,37,13,33,78,9.57
47,"Michael Pittman","WR","IND",58,48.69,15,44,20,29,76,11.06
48,"Diontae Johnson","WR","PIT",58,50.97,16,83,34,35,70,9.54
49,"T.J. Hockenson","TE","DET",58,52.57,5,47,3,35,87,10.74
50,"Cam Akers","RB","LAR",58,53.14,12,201,60,30,89,11.63
51,"Elijah Moore","WR","NYJ",58,54.76,17,149,57,37,99,10.98
52,"J.K. Dobbins","RB","BAL",58,55.12,13,143,42,36,73,7.85
53,"Kenneth Walker","RB","SEA",58,56.22,14,49,9,35,79,9.27
54,"Derrick Henry","RB","TEN",58,56.93,15,107,28,13,81,14.34
55,"Chris Godwin","WR","TB",58,57.38,18,86,36,42,75,7.81
56,"Alvin Kamara","RB","NO",58,58.81,16,90,23,22,79,11.1
57,"Treylon Burks","WR","TEN",58,58.83,19,124,49,33,99,14.08
58,"Garrett Wilson","WR","NYJ",58,58.97,20,11,5,31,82,10.22
59,"Kirk Cousins","QB","MIN",58,59.05,18,73,19,32,100,14.15
60,"Terry McLaurin","WR","WAS",58,59.07,21,68,29,39,79,8.84
61,"Mac Jones","QB","NE",58,59.19,19,159,31,33,110,13.61
62,"Nick Chubb","RB","CLE",58,60.4,17,105,26,44,78,9.75
63,"Jerry Jeudy","WR","DEN",58,61,22,116,43,39,80,9.52
64,"Zach Wilson","QB","NYJ",58,62.95,20,255,41,37,127,19.97
65,"Rashod Bateman","WR","BAL",58,64.69,23,150,58,38,98,13.89
66,"Jameson Williams","WR","DET",58,66.57,24,85,35,47,105,11.47
67,"DeVonta Smith","WR","PHI",58,67.24,25,35,15,34,108,11.64
68,"Darren Waller","TE","LV",58,68.17,6,175,24,51,91,9.62
69,"Mike Evans","WR","TB",58,69.07,26,77,33,51,89,9.05
70,"Marquise Brown","WR","ARI",58,70.95,27,120,46,58,100,9.94
71,"Tom Brady","QB","TB",58,71.16,21,NA,NA,7,98,16.48
72,"Chris Olave","WR","NO",58,71.78,28,24,8,55,91,7.82
73,"Courtland Sutton","WR","DEN",58,73.14,29,122,47,42,95,12.66
74,"Amon-Ra St. Brown","WR","DET",58,74,30,9,4,51,98,10.1
75,"Aaron Jones","RB","GB",58,75.28,18,97,25,43,97,12.67
76,"Antonio Gibson","RB","WAS",58,76.03,19,140,39,28,131,25.04
77,"AJ Dillon","RB","GB",58,80.47,20,162,50,55,103,10.71
78,"David Montgomery","RB","CHI",58,81.36,21,79,19,55,105,12.02
78,"Keenan Allen","WR","LAC",58,81.36,31,70,31,46,100,10.03
80,"Pat Freiermuth","TE","PIT",58,82.33,7,101,12,53,113,12.29
81,"Dalton Schultz","TE","DAL",58,82.47,8,145,17,52,106,10.83
